module,class_name,node_id,iso_class,iso_node_id
nodes_hunyuan,HunyuanVideo15LatentUpscaleWithModel,HunyuanVideo15LatentUpscaleWithModel,HunyuanVideo15LatentUpscaleWithModel_ISO,HunyuanVideo15LatentUpscaleWithModel_ISO
nodes_hunyuan,TextEncodeHunyuanVideo_ImageToVideo,TextEncodeHunyuanVideo_ImageToVideo,TextEncodeHunyuanVideo_ImageToVideo_ISO,TextEncodeHunyuanVideo_ImageToVideo_ISO
nodes_hunyuan,HunyuanImageToVideo,HunyuanImageToVideo,HunyuanImageToVideo_ISO,HunyuanImageToVideo_ISO
nodes_hunyuan,EmptyHunyuanImageLatent,EmptyHunyuanImageLatent,EmptyHunyuanImageLatent_ISO,EmptyHunyuanImageLatent_ISO
nodes_hunyuan,HunyuanRefinerLatent,HunyuanRefinerLatent,HunyuanRefinerLatent_ISO,HunyuanRefinerLatent_ISO
nodes_hunyuan3d,EmptyLatentHunyuan3Dv2,EmptyLatentHunyuan3Dv2,EmptyLatentHunyuan3Dv2_ISO,EmptyLatentHunyuan3Dv2_ISO
nodes_hunyuan3d,Hunyuan3Dv2Conditioning,Hunyuan3Dv2Conditioning,Hunyuan3Dv2Conditioning_ISO,Hunyuan3Dv2Conditioning_ISO
nodes_hunyuan3d,Hunyuan3Dv2ConditioningMultiView,Hunyuan3Dv2ConditioningMultiView,Hunyuan3Dv2ConditioningMultiView_ISO,Hunyuan3Dv2ConditioningMultiView_ISO
nodes_hunyuan3d,VAEDecodeHunyuan3D,VAEDecodeHunyuan3D,VAEDecodeHunyuan3D_ISO,VAEDecodeHunyuan3D_ISO
nodes_hunyuan3d,VoxelToMeshBasic,VoxelToMeshBasic,VoxelToMeshBasic_ISO,VoxelToMeshBasic_ISO
nodes_hunyuan3d,VoxelToMesh,VoxelToMesh,VoxelToMesh_ISO,VoxelToMesh_ISO
nodes_hunyuan3d,SaveGLB,SaveGLB,SaveGLB_ISO,SaveGLB_ISO
nodes_hypernetwork,HypernetworkLoader,HypernetworkLoader,HypernetworkLoader_ISO,HypernetworkLoader_ISO
nodes_hypertile,HyperTile,HyperTile,HyperTile_ISO,HyperTile_ISO
nodes_ip2p,InstructPixToPixConditioning,InstructPixToPixConditioning,InstructPixToPixConditioning_ISO,InstructPixToPixConditioning_ISO
nodes_latent,LatentAdd,LatentAdd,LatentAdd_ISO,LatentAdd_ISO
nodes_latent,LatentSubtract,LatentSubtract,LatentSubtract_ISO,LatentSubtract_ISO
nodes_latent,LatentMultiply,LatentMultiply,LatentMultiply_ISO,LatentMultiply_ISO
nodes_latent,LatentInterpolate,LatentInterpolate,LatentInterpolate_ISO,LatentInterpolate_ISO
nodes_latent,LatentConcat,LatentConcat,LatentConcat_ISO,LatentConcat_ISO
nodes_latent,LatentCut,LatentCut,LatentCut_ISO,LatentCut_ISO
nodes_latent,LatentBatch,LatentBatch,LatentBatch_ISO,LatentBatch_ISO
nodes_latent,LatentBatchSeedBehavior,LatentBatchSeedBehavior,LatentBatchSeedBehavior_ISO,LatentBatchSeedBehavior_ISO
nodes_latent,LatentApplyOperation,LatentApplyOperation,LatentApplyOperation_ISO,LatentApplyOperation_ISO
nodes_latent,LatentApplyOperationCFG,LatentApplyOperationCFG,LatentApplyOperationCFG_ISO,LatentApplyOperationCFG_ISO
nodes_latent,LatentOperationTonemapReinhard,LatentOperationTonemapReinhard,LatentOperationTonemapReinhard_ISO,LatentOperationTonemapReinhard_ISO
nodes_latent,LatentOperationSharpen,LatentOperationSharpen,LatentOperationSharpen_ISO,LatentOperationSharpen_ISO
nodes_logic,SwitchNode,ComfySwitchNode,SwitchNode_ISO,ComfySwitchNode_ISO
nodes_logic,DCTestNode,DCTestNode,DCTestNode_ISO,DCTestNode_ISO
nodes_logic,AutogrowNamesTestNode,AutogrowNamesTestNode,AutogrowNamesTestNode_ISO,AutogrowNamesTestNode_ISO
nodes_logic,AutogrowPrefixTestNode,AutogrowPrefixTestNode,AutogrowPrefixTestNode_ISO,AutogrowPrefixTestNode_ISO
nodes_lora_extract,LoraSave,LoraSave,LoraSave_ISO,LoraSave_ISO
nodes_lotus,LotusConditioning,LotusConditioning,LotusConditioning_ISO,LotusConditioning_ISO
nodes_lt,EmptyLTXVLatentVideo,EmptyLTXVLatentVideo,EmptyLTXVLatentVideo_ISO,EmptyLTXVLatentVideo_ISO
nodes_lt,LTXVImgToVideo,LTXVImgToVideo,LTXVImgToVideo_ISO,LTXVImgToVideo_ISO
nodes_lt,LTXVAddGuide,LTXVAddGuide,LTXVAddGuide_ISO,LTXVAddGuide_ISO
nodes_lt,LTXVCropGuides,LTXVCropGuides,LTXVCropGuides_ISO,LTXVCropGuides_ISO
nodes_lt,LTXVConditioning,LTXVConditioning,LTXVConditioning_ISO,LTXVConditioning_ISO
nodes_lt,ModelSamplingLTXV,ModelSamplingLTXV,ModelSamplingLTXV_ISO,ModelSamplingLTXV_ISO
nodes_lt,LTXVScheduler,LTXVScheduler,LTXVScheduler_ISO,LTXVScheduler_ISO
nodes_lt,LTXVPreprocess,LTXVPreprocess,LTXVPreprocess_ISO,LTXVPreprocess_ISO
nodes_lumina2,RenormCFG,RenormCFG,RenormCFG_ISO,RenormCFG_ISO
nodes_lumina2,CLIPTextEncodeLumina2,CLIPTextEncodeLumina2,CLIPTextEncodeLumina2_ISO,CLIPTextEncodeLumina2_ISO
nodes_mahiro,Mahiro,Mahiro,Mahiro_ISO,Mahiro_ISO
nodes_mochi,EmptyMochiLatentVideo,EmptyMochiLatentVideo,EmptyMochiLatentVideo_ISO,EmptyMochiLatentVideo_ISO
